timestamp,ID,RSSI,SNR
2023-01-13 17:52:37.986451,25,-61.00,8.75
2023-01-13 17:52:48.043483,25,-61.00,8.5
2023-01-13 18:06:30.423847,18,-71.00,9.25
2023-01-13 18:06:30.449044,25,-67.00,8.5
2023-01-13 18:06:30.479759,72,-74.00,9.25
2023-01-13 18:06:30.536881,18,-71.00,9.75
2023-01-13 18:06:30.562167,25,-67.00,8.75
2023-01-13 18:06:30.592486,72,-74.00,9.5
2023-01-13 18:06:30.649791,18,-72.00,10.25
2023-01-13 18:06:30.675115,25,-67.00,8.5
2023-01-13 18:06:30.706378,72,-74.00,9.75
2023-01-13 18:06:30.763505,18,-71.00,9.5
2023-01-13 18:06:30.788620,25,-67.00,9.0
2023-01-13 18:06:30.818826,72,-75.00,9.5
2023-01-13 18:06:30.875950,18,-71.00,9.0
2023-01-13 18:06:30.901449,25,-67.00,8.75
2023-01-13 18:06:30.931783,72,-75.00,9.0
2023-01-13 18:06:30.989035,18,-70.00,9.25
2023-01-13 18:06:31.014451,25,-67.00,8.75
2023-01-13 18:06:31.044824,72,-75.00,9.5
2023-01-13 18:06:31.101958,18,-64.00,7.5
2023-01-13 18:06:31.127306,25,-67.00,8.25
2023-01-13 18:06:31.157585,72,-76.00,9.5
2023-01-13 18:06:31.214840,18,-72.00,9.75
2023-01-13 18:06:31.240304,25,-67.00,8.75
2023-01-13 18:06:31.270673,72,-76.00,9.75
2023-01-13 18:06:31.327884,18,-74.00,9.5
2023-01-13 18:06:31.353121,25,-68.00,9.0
2023-01-13 18:06:31.383530,72,-76.00,9.25
2023-01-13 18:06:31.440797,18,-73.00,9.5
2023-01-13 18:06:31.466013,25,-67.00,9.0
2023-01-13 18:06:31.496679,72,-75.00,9.5
2023-01-13 18:06:31.554212,18,-73.00,9.0
2023-01-13 18:06:31.579672,25,-67.00,8.75
2023-01-13 18:06:31.609836,72,-75.00,9.25
2023-01-13 18:06:31.666843,18,-72.00,9.75
2023-01-13 18:06:31.692187,25,-67.00,8.5
2023-01-13 18:06:31.722908,72,-75.00,9.5
2023-01-13 18:06:31.780591,18,-73.00,9.25
2023-01-13 18:06:31.805402,25,-67.00,8.5
2023-01-13 18:06:31.835993,72,-75.00,9.0
2023-01-13 18:06:31.892898,18,-73.00,9.5
2023-01-13 18:06:31.918124,25,-67.00,9.0
2023-01-13 18:06:31.948674,72,-75.00,9.0
2023-01-13 18:06:32.006018,18,-72.00,9.75
2023-01-13 18:06:32.062035,72,-62.00,9.0
2023-01-13 18:06:32.118890,18,-72.00,9.25
2023-01-13 18:06:32.144514,25,-67.00,8.75
2023-01-13 18:06:32.174532,72,-75.00,9.25
2023-01-13 18:06:32.231829,18,-72.00,9.5
2023-01-13 18:06:32.257202,25,-67.00,9.0
2023-01-13 18:06:32.287668,72,-75.00,9.25
2023-01-13 18:06:32.346246,18,-71.00,9.5
2023-01-13 18:06:32.370206,25,-67.00,8.75
2023-01-13 18:06:32.400549,72,-75.00,8.75
2023-01-13 18:06:32.457810,18,-72.00,9.75
2023-01-13 18:06:32.483023,25,-67.00,8.75
2023-01-13 18:06:32.513484,72,-75.00,9.25
2023-01-13 18:06:32.570993,18,-72.00,9.5
2023-01-13 18:06:32.596291,25,-67.00,8.75
2023-01-13 18:06:32.626817,72,-75.00,9.25
2023-01-13 18:06:32.683730,18,-72.00,9.25
2023-01-13 18:06:32.709134,25,-67.00,8.5
2023-01-13 18:06:32.739648,72,-75.00,9.25
2023-01-13 18:06:32.797000,18,-72.00,9.0
2023-01-13 18:06:32.822425,25,-67.00,8.75
2023-01-13 18:06:32.852574,72,-75.00,9.25
2023-01-13 18:06:32.909767,18,-72.00,9.0
2023-01-13 18:06:32.935257,25,-67.00,8.5
2023-01-13 18:06:32.965527,72,-75.00,9.25
2023-01-13 18:06:33.022759,18,-72.00,9.75
2023-01-13 18:06:33.048157,25,-67.00,9.0
2023-01-13 18:06:33.078664,72,-75.00,9.75
2023-01-13 18:06:33.135876,18,-72.00,9.0
2023-01-13 18:06:33.161168,25,-67.00,9.0
2023-01-13 18:06:33.191432,72,-75.00,9.25
2023-01-13 18:06:33.249163,18,-72.00,10.0
2023-01-13 18:06:33.274077,25,-67.00,8.75
2023-01-13 18:06:33.304818,72,-75.00,9.5
2023-01-13 18:06:33.361888,18,-72.00,9.5
2023-01-13 18:06:33.387515,25,-66.00,8.75
2023-01-13 18:06:33.417554,72,-75.00,9.5
2023-01-13 18:06:33.474727,18,-71.00,9.5
2023-01-13 18:06:33.500043,25,-67.00,8.75
2023-01-13 18:06:33.530586,72,-76.00,9.5
2023-01-13 18:06:33.588028,18,-72.00,9.5
2023-01-13 18:06:33.613330,25,-67.00,8.5
2023-01-13 18:06:33.643698,72,-75.00,9.25
2023-01-13 18:06:33.700817,18,-71.00,9.25
2023-01-13 18:06:33.726084,25,-67.00,8.5
2023-01-13 18:06:33.756482,72,-75.00,9.5
2023-01-13 18:06:33.814067,18,-71.00,10.0
2023-01-13 18:06:33.839144,25,-67.00,9.0
2023-01-13 18:06:33.881908,72,-75.00,9.75
2023-01-13 18:06:33.927836,18,-71.00,9.5
2023-01-13 18:06:33.952107,25,-67.00,8.75
2023-01-13 18:06:33.982570,72,-75.00,9.25
2023-01-13 18:06:34.039862,18,-71.00,9.5
2023-01-13 18:06:34.065035,25,-67.00,8.5
2023-01-13 18:06:34.095685,72,-75.00,9.75
2023-01-13 18:06:34.152850,18,-72.00,9.25
2023-01-13 18:06:34.178145,25,-67.00,9.0
2023-01-13 18:06:34.208516,72,-75.00,9.25
2023-01-13 18:06:34.265904,18,-72.00,9.5
2023-01-13 18:06:34.291098,25,-67.00,8.75
2023-01-13 18:06:34.322013,72,-75.00,9.75
2023-01-13 18:06:34.378867,18,-71.00,9.25
2023-01-13 18:06:34.404241,25,-66.00,9.0
2023-01-13 18:06:34.434545,72,-76.00,9.75
2023-01-13 18:06:34.491734,18,-71.00,9.5
2023-01-13 18:06:34.517032,25,-67.00,9.0
2023-01-13 18:06:34.547537,72,-75.00,9.75
2023-01-13 18:06:34.605135,18,-71.00,9.25
2023-01-13 18:06:34.630158,25,-68.00,8.5
2023-01-13 18:06:34.660543,72,-76.00,9.5
2023-01-13 18:06:34.717780,18,-72.00,9.25
2023-01-13 18:06:34.743047,25,-67.00,8.75
2023-01-13 18:06:34.773552,72,-75.00,9.75
2023-01-13 18:06:34.831032,18,-71.00,9.25
2023-01-13 18:06:34.856897,25,-67.00,9.0
2023-01-13 18:06:34.886680,72,-75.00,9.5
2023-01-13 18:06:34.943970,18,-71.00,9.5
2023-01-13 18:06:34.969121,25,-66.00,8.75
2023-01-13 18:06:34.999789,72,-75.00,10.0
2023-01-13 18:06:35.056852,18,-72.00,9.5
2023-01-13 18:06:35.082238,25,-68.00,9.0
2023-01-13 18:06:35.112826,72,-76.00,9.25
2023-01-13 18:06:35.170413,18,-72.00,9.5
2023-01-13 18:06:35.195112,25,-68.00,8.75
2023-01-13 18:06:35.225537,72,-76.00,9.75
2023-01-13 18:06:35.282925,18,-72.00,9.5
2023-01-13 18:06:35.308129,25,-67.00,8.75
2023-01-13 18:06:35.338586,72,-76.00,9.5
2023-01-13 18:06:35.396000,18,-71.00,9.5
2023-01-13 18:06:35.421421,25,-67.00,8.5
2023-01-13 18:06:35.451788,72,-75.00,10.25
2023-01-13 18:06:35.509007,18,-72.00,10.0
2023-01-13 18:06:35.534167,25,-67.00,8.75
2023-01-13 18:06:35.564556,72,-75.00,9.25
2023-01-13 18:06:35.621940,18,-71.00,9.5
2023-01-13 18:06:35.647243,25,-67.00,8.75
2023-01-13 18:06:35.677537,72,-75.00,9.75
2023-01-13 18:06:35.734827,18,-71.00,9.75
2023-01-13 18:06:35.760259,25,-67.00,8.5
2023-01-13 18:06:35.790474,72,-75.00,9.5
2023-01-13 18:06:35.848027,18,-71.00,9.75
2023-01-13 18:06:35.873699,25,-67.00,8.5
2023-01-13 18:06:35.904351,72,-75.00,9.5
2023-01-13 18:06:35.960993,18,-71.00,10.0
2023-01-13 18:06:35.986208,25,-67.00,8.5
2023-01-13 18:06:36.016551,72,-75.00,9.75
2023-01-13 18:06:36.073853,18,-71.00,10.0
2023-01-13 18:06:36.099162,25,-67.00,8.75
2023-01-13 18:06:36.129552,72,-75.00,9.5
2023-01-13 18:06:36.187013,18,-71.00,9.5
2023-01-13 18:06:36.212238,25,-67.00,8.5
2023-01-13 18:06:36.242478,72,-75.00,9.75
2023-01-13 18:06:36.300001,18,-71.00,9.75
2023-01-13 18:06:36.325165,25,-66.00,8.5
2023-01-13 18:06:36.356103,72,-75.00,9.5
2023-01-13 18:06:36.413264,18,-71.00,9.5
2023-01-13 18:06:36.438186,25,-66.00,9.0
2023-01-13 18:06:36.468906,72,-75.00,9.5
2023-01-13 18:06:36.525960,18,-71.00,9.25
2023-01-13 18:06:36.551060,25,-67.00,8.75
2023-01-13 18:06:36.581543,72,-75.00,9.75
2023-01-13 18:06:36.638721,18,-72.00,9.75
2023-01-13 18:06:36.664127,25,-67.00,9.0
2023-01-13 18:06:36.694780,72,-75.00,9.5
2023-01-13 18:06:36.752121,18,-71.00,9.5
2023-01-13 18:06:36.777132,25,-67.00,8.75
2023-01-13 18:06:36.807736,72,-75.00,9.75
2023-01-13 18:06:36.864982,18,-71.00,9.75
2023-01-13 18:06:36.890247,25,-67.00,9.0
2023-01-13 18:06:36.921009,72,-76.00,9.25
2023-01-13 18:06:36.979221,18,-71.00,9.5
2023-01-13 18:06:37.003273,25,-67.00,9.0
2023-01-13 18:06:37.033528,72,-75.00,10.0
2023-01-13 18:06:37.090821,18,-71.00,9.75
