timestamp,SSID,RSSI,CH
2023-01-16 14:25:31.041951,AP-18,-57,12
2023-01-16 14:25:31.042137,AP-36,-79,12
2023-01-16 14:25:31.042289,AP-25,-82,12
2023-01-16 14:25:31.044551,AP-72,-84,12
2023-01-16 14:25:31.044786,pioneernuc,-90,1
2023-01-16 14:25:35.245952,AP-18,-56,12
2023-01-16 14:25:35.246166,AP-25,-82,12
2023-01-16 14:25:35.250850,AP-36,-82,12
2023-01-16 14:25:35.251001,AP-72,-83,12
2023-01-16 14:25:35.251168,pioneernuc,-91,1
2023-01-16 14:25:39.453693,AP-18,-56,12
2023-01-16 14:25:39.453866,AP-36,-81,12
2023-01-16 14:25:39.454014,AP-25,-82,12
2023-01-16 14:25:39.455844,AP-72,-84,12
2023-01-16 14:25:39.456080,pioneernuc,-91,1
2023-01-16 14:25:43.658690,AP-18,-56,12
2023-01-16 14:25:43.658939,AP-25,-82,12
2023-01-16 14:25:43.659125,AP-36,-82,12
2023-01-16 14:25:43.661630,AP-72,-84,12
2023-01-16 14:25:43.661909,pioneernuc,-92,1
2023-01-16 14:25:47.864505,AP-18,-56,12
2023-01-16 14:25:47.864809,AP-36,-82,12
2023-01-16 14:25:47.865082,AP-25,-83,12
2023-01-16 14:25:47.869422,AP-72,-85,12
2023-01-16 14:25:47.869869,pioneernuc,-92,1
2023-01-16 14:25:52.070378,AP-18,-56,12
2023-01-16 14:25:52.070655,AP-25,-82,12
2023-01-16 14:25:52.070825,AP-36,-82,12
2023-01-16 14:25:52.072959,AP-72,-85,12
2023-01-16 14:25:52.073387,pioneernuc,-93,1
2023-01-16 14:25:56.276366,AP-18,-57,12
2023-01-16 14:25:56.276752,AP-25,-82,12
2023-01-16 14:25:56.276926,AP-36,-82,12
2023-01-16 14:25:56.278738,AP-72,-84,12
2023-01-16 14:25:56.278958,pioneernuc,-92,1
2023-01-16 14:26:00.482294,AP-18,-56,12
2023-01-16 14:26:00.482451,AP-36,-81,12
2023-01-16 14:26:00.482593,AP-25,-83,12
2023-01-16 14:26:00.484572,AP-72,-83,12
2023-01-16 14:26:00.485021,pioneernuc,-91,1
2023-01-16 14:26:04.688149,AP-18,-56,12
2023-01-16 14:26:04.688413,AP-36,-81,12
2023-01-16 14:26:04.688566,AP-25,-81,12
2023-01-16 14:26:04.690443,AP-72,-84,12
2023-01-16 14:26:04.690613,pioneernuc,-91,1
2023-01-16 14:26:08.892969,AP-18,-55,12
2023-01-16 14:26:08.893196,AP-36,-81,12
2023-01-16 14:26:08.893575,AP-25,-82,12
2023-01-16 14:26:08.895932,AP-72,-84,12
2023-01-16 14:26:08.896290,pioneernuc,-91,1
2023-01-16 14:26:13.099205,AP-18,-55,12
2023-01-16 14:26:13.099360,AP-36,-81,12
2023-01-16 14:26:13.099502,AP-25,-83,12
2023-01-16 14:26:13.103675,AP-72,-84,12
2023-01-16 14:26:13.103924,pioneernuc,-90,1
2023-01-16 14:26:17.304836,AP-18,-57,12
2023-01-16 14:26:17.305063,AP-36,-81,12
2023-01-16 14:26:17.305214,AP-25,-83,12
2023-01-16 14:26:17.307494,AP-72,-84,12
2023-01-16 14:26:17.307723,pioneernuc,-92,1
2023-01-16 14:26:21.510726,AP-18,-55,12
2023-01-16 14:26:21.510939,AP-36,-82,12
2023-01-16 14:26:21.511150,AP-25,-82,12
2023-01-16 14:26:21.513137,AP-72,-83,12
2023-01-16 14:26:21.513435,pioneernuc,-90,1
2023-01-16 14:26:25.716808,AP-18,-55,12
2023-01-16 14:26:25.717078,AP-25,-81,12
2023-01-16 14:26:25.717238,AP-36,-83,12
2023-01-16 14:26:25.720707,AP-72,-84,12
2023-01-16 14:26:25.720964,pioneernuc,-92,1
