timestamp,SSID,RSSI,CH
2023-01-13 18:06:33.854285,AP-72,-48,12
2023-01-13 18:06:33.854687,FlyNet_RCL,-50,1
2023-01-13 18:06:33.855009,FlyNet,-54,10
2023-01-13 18:06:33.859017,LTU,-60,6
2023-01-13 18:06:33.859231,LTU-H2Al,-61,6
2023-01-13 18:06:33.859402,eduroam,-61,6
2023-01-13 18:06:33.863975,pioneernuc,-62,1
2023-01-13 18:06:33.864416,DIRECT-STLAPTOP-TMNRJ694msTF,-64,1
2023-01-13 18:06:33.870065,AP-25,-66,12
2023-01-13 18:06:33.870226,AP-36,-69,12
2023-01-13 18:06:33.870382,AP-18,-69,12
2023-01-13 18:06:33.874887,eduroam,-78,1
2023-01-13 18:06:33.875098,LTU,-78,1
2023-01-13 18:06:33.875313,eduroam,-82,11
2023-01-13 18:06:33.875489,LTU,-83,11
2023-01-13 18:06:33.881079,LTU,-85,1
2023-01-13 18:06:33.881494,eduroam,-85,1
2023-01-13 18:06:33.881698,eduroam,-85,6
2023-01-13 18:06:38.081009,AP-72,-47,12
2023-01-13 18:06:38.081265,FlyNet_RCL,-48,1
2023-01-13 18:06:38.081434,FlyNet,-52,10
2023-01-13 18:06:38.087737,eduroam,-61,6
2023-01-13 18:06:38.087961,LTU,-61,6
2023-01-13 18:06:38.088201,pioneernuc,-62,1
2023-01-13 18:06:38.091935,LTU-H2Al,-62,6
2023-01-13 18:06:38.092177,AP-36,-64,12
2023-01-13 18:06:38.098056,DIRECT-STLAPTOP-TMNRJ694msTF,-65,1
2023-01-13 18:06:38.098457,AP-25,-66,12
2023-01-13 18:06:38.098716,AP-18,-70,12
2023-01-13 18:06:38.102818,LTU,-79,11
2023-01-13 18:06:38.103001,eduroam,-80,11
2023-01-13 18:06:38.103135,LTU,-81,1
2023-01-13 18:06:38.103295,eduroam,-81,1
2023-01-13 18:06:38.108911,LTU,-82,1
2023-01-13 18:06:38.109088,eduroam,-83,1
2023-01-13 18:06:38.109271,LTU,-84,6
2023-01-13 18:06:38.110394,eduroam,-85,6
2023-01-13 18:06:42.323821,FlyNet_RCL,-49,1
2023-01-13 18:06:42.324038,AP-72,-49,12
2023-01-13 18:06:42.324226,FlyNet,-52,10
2023-01-13 18:06:42.324407,pioneernuc,-61,1
2023-01-13 18:06:42.324582,LTU-H2Al,-63,6
2023-01-13 18:06:42.328951,LTU,-63,6
2023-01-13 18:06:42.329010,eduroam,-63,6
2023-01-13 18:06:42.335023,DIRECT-STLAPTOP-TMNRJ694msTF,-65,1
2023-01-13 18:06:42.335245,AP-25,-65,12
2023-01-13 18:06:42.335449,AP-18,-69,12
2023-01-13 18:06:42.340282,AP-36,-71,12
2023-01-13 18:06:42.340454,LTU,-80,1
2023-01-13 18:06:42.347055,eduroam,-80,1
2023-01-13 18:06:42.347962,eduroam,-80,11
2023-01-13 18:06:42.348137,LTU,-81,11
2023-01-13 18:06:42.348412,eduroam,-84,1
2023-01-13 18:06:42.348584,LTU,-85,1
2023-01-13 18:06:42.348721,LTU,-85,6
2023-01-13 18:06:46.548000,FlyNet_RCL,-49,1
2023-01-13 18:06:46.548174,AP-72,-51,12
2023-01-13 18:06:46.548344,FlyNet,-52,10
2023-01-13 18:06:46.552959,LTU-H2Al,-60,6
2023-01-13 18:06:46.553234,LTU,-61,6
2023-01-13 18:06:46.553417,pioneernuc,-62,1
2023-01-13 18:06:46.558913,eduroam,-62,6
2023-01-13 18:06:46.559385,DIRECT-STLAPTOP-TMNRJ694msTF,-64,1
2023-01-13 18:06:46.563929,AP-25,-66,12
2023-01-13 18:06:46.564121,AP-36,-69,12
2023-01-13 18:06:46.564303,AP-18,-70,12
2023-01-13 18:06:46.564463,LTU,-79,1
2023-01-13 18:06:46.570952,eduroam,-80,1
2023-01-13 18:06:46.571183,eduroam,-80,11
2023-01-13 18:06:46.571368,LTU,-80,11
2023-01-13 18:06:46.575083,LTU,-84,1
2023-01-13 18:06:46.575491,LTU,-85,6
2023-01-13 18:06:46.575676,eduroam,-85,6
2023-01-13 18:06:46.575844,eduroam,-86,1
2023-01-13 18:06:50.786066,FlyNet_RCL,-48,1
2023-01-13 18:06:50.786237,AP-72,-51,12
2023-01-13 18:06:50.786406,FlyNet,-53,10
2023-01-13 18:06:50.791950,pioneernuc,-62,1
2023-01-13 18:06:50.792102,LTU,-62,6
2023-01-13 18:06:50.792274,eduroam,-62,6
2023-01-13 18:06:50.796881,LTU-H2Al,-63,6
2023-01-13 18:06:50.797272,DIRECT-STLAPTOP-TMNRJ694msTF,-65,1
2023-01-13 18:06:50.804119,AP-25,-66,12
2023-01-13 18:06:50.804290,AP-36,-68,12
2023-01-13 18:06:50.805011,AP-18,-69,12
2023-01-13 18:06:50.807855,eduroam,-79,11
2023-01-13 18:06:50.808001,LTU,-80,1
2023-01-13 18:06:50.808144,LTU,-80,11
2023-01-13 18:06:50.808518,eduroam,-81,1
2023-01-13 18:06:50.813994,LTU,-84,6
2023-01-13 18:06:50.814231,eduroam,-85,6
2023-01-13 18:06:50.814413,eduroam,-86,1
2023-01-13 18:06:50.816546,LTU,-87,1
2023-01-13 18:06:50.816694,LTU,-93,6
2023-01-13 18:06:55.024980,AP-72,-44,12
2023-01-13 18:06:55.025254,FlyNet_RCL,-48,1
2023-01-13 18:06:55.025481,FlyNet,-52,10
2023-01-13 18:06:55.030196,eduroam,-61,6
2023-01-13 18:06:55.030466,LTU,-61,6
2023-01-13 18:06:55.030993,pioneernuc,-62,1
2023-01-13 18:06:55.037991,LTU-H2Al,-62,6
2023-01-13 18:06:55.038410,DIRECT-STLAPTOP-TMNRJ694msTF,-64,1
2023-01-13 18:06:55.040786,AP-25,-65,12
2023-01-13 18:06:55.040956,AP-18,-67,12
2023-01-13 18:06:55.041119,AP-36,-71,12
2023-01-13 18:06:55.041261,LTU,-79,1
2023-01-13 18:06:55.047047,eduroam,-79,1
2023-01-13 18:06:55.047196,LTU,-81,11
2023-01-13 18:06:55.047484,eduroam,-81,11
2023-01-13 18:06:55.048741,eduroam,-86,6
2023-01-13 18:06:55.048895,LTU,-92,6
2023-01-13 18:06:59.252993,AP-72,-47,12
2023-01-13 18:06:59.253218,FlyNet_RCL,-48,1
2023-01-13 18:06:59.253421,FlyNet,-56,10
2023-01-13 18:06:59.257929,eduroam,-58,6
2023-01-13 18:06:59.258121,LTU,-59,6
2023-01-13 18:06:59.258301,LTU-H2Al,-59,6
2023-01-13 18:06:59.263885,pioneernuc,-63,1
2023-01-13 18:06:59.264243,DIRECT-STLAPTOP-TMNRJ694msTF,-65,1
2023-01-13 18:06:59.268786,AP-25,-65,12
2023-01-13 18:06:59.268945,AP-36,-70,12
2023-01-13 18:06:59.269098,AP-18,-72,12
2023-01-13 18:06:59.274804,eduroam,-78,1
2023-01-13 18:06:59.274949,LTU,-79,1
2023-01-13 18:06:59.275119,eduroam,-81,11
2023-01-13 18:06:59.275289,eduroam,-82,6
2023-01-13 18:06:59.280027,LTU,-82,6
2023-01-13 18:06:59.280500,eduroam,-84,1
2023-01-13 18:06:59.280635,LTU,-86,1
2023-01-13 18:07:03.481270,FlyNet_RCL,-47,1
2023-01-13 18:07:03.481695,AP-72,-48,12
