timestamp,SSID,RSSI,CH
2023-01-13 18:12:33.848984,AP-72,-44,12
2023-01-13 18:12:33.849245,FlyNet_RCL,-47,1
2023-01-13 18:12:33.849426,LTU-H2Al,-56,6
2023-01-13 18:12:33.854891,LTU,-56,6
2023-01-13 18:12:33.855073,FlyNet,-56,10
2023-01-13 18:12:33.855227,eduroam,-57,6
2023-01-13 18:12:33.860223,DIRECT-STLAPTOP-TMNRJ694msTF,-65,1
2023-01-13 18:12:33.860397,pioneernuc,-66,1
2023-01-13 18:12:33.866217,AP-18,-67,12
2023-01-13 18:12:33.866371,AP-36,-67,12
2023-01-13 18:12:33.866512,AP-25,-72,12
2023-01-13 18:12:33.866633,LTU,-78,1
2023-01-13 18:12:33.870952,eduroam,-78,1
2023-01-13 18:12:33.871114,eduroam,-80,11
2023-01-13 18:12:33.871241,LTU,-81,11
2023-01-13 18:12:33.876938,eduroam,-82,1
2023-01-13 18:12:33.877151,LTU,-83,1
2023-01-13 18:12:33.877334,eduroam,-85,6
2023-01-13 18:12:33.879973,eduroam,-91,6
2023-01-13 18:12:33.880103,LTU,-93,6
2023-01-13 18:12:38.088511,FlyNet_RCL,-49,1
2023-01-13 18:12:38.088723,AP-72,-49,12
2023-01-13 18:12:38.088959,FlyNet,-54,10
2023-01-13 18:12:38.093315,LTU,-58,6
2023-01-13 18:12:38.093476,eduroam,-58,6
2023-01-13 18:12:38.093629,LTU-H2Al,-59,6
2023-01-13 18:12:38.099284,pioneernuc,-63,1
2023-01-13 18:12:38.099575,DIRECT-STLAPTOP-TMNRJ694msTF,-64,1
2023-01-13 18:12:38.103821,AP-36,-66,12
2023-01-13 18:12:38.104041,AP-25,-68,12
2023-01-13 18:12:38.104190,AP-18,-72,12
2023-01-13 18:12:38.110114,eduroam,-76,1
2023-01-13 18:12:38.110254,LTU,-76,1
2023-01-13 18:12:38.110749,eduroam,-80,11
2023-01-13 18:12:38.110955,LTU,-80,11
2023-01-13 18:12:38.115153,eduroam,-86,1
2023-01-13 18:12:38.115362,eduroam,-86,6
2023-01-13 18:12:38.115490,LTU,-86,6
2023-01-13 18:12:38.120438,LTU,-87,1
2023-01-13 18:12:38.120572,LTU,-90,6
2023-01-13 18:12:38.120746,eduroam,-91,6
2023-01-13 18:12:42.326853,FlyNet_RCL,-46,1
2023-01-13 18:12:42.327263,AP-72,-51,12
2023-01-13 18:12:42.327490,FlyNet,-58,10
2023-01-13 18:12:42.331964,eduroam,-59,6
2023-01-13 18:12:42.332123,LTU-H2Al,-59,6
2023-01-13 18:12:42.332313,LTU,-59,6
2023-01-13 18:12:42.336943,DIRECT-STLAPTOP-TMNRJ694msTF,-64,1
2023-01-13 18:12:42.337236,pioneernuc,-65,1
2023-01-13 18:12:42.343601,AP-36,-65,12
2023-01-13 18:12:42.343838,AP-18,-69,12
2023-01-13 18:12:42.344103,AP-25,-73,12
2023-01-13 18:12:42.344272,LTU,-75,1
2023-01-13 18:12:42.349162,eduroam,-75,1
2023-01-13 18:12:42.349327,LTU,-81,11
2023-01-13 18:12:42.349510,eduroam,-81,11
2023-01-13 18:12:42.354530,eduroam,-82,1
2023-01-13 18:12:42.354662,LTU,-82,1
2023-01-13 18:12:42.354785,LTU,-84,6
2023-01-13 18:12:42.358721,eduroam,-84,6
2023-01-13 18:12:42.359007,eduroam,-92,6
2023-01-13 18:12:42.359241,LTU,-93,6
2023-01-13 18:12:46.565085,AP-72,-45,12
2023-01-13 18:12:46.565337,FlyNet_RCL,-46,1
2023-01-13 18:12:46.565585,FlyNet,-53,10
2023-01-13 18:12:46.569787,LTU,-58,6
2023-01-13 18:12:46.569950,eduroam,-58,6
2023-01-13 18:12:46.570110,LTU-H2Al,-58,6
2023-01-13 18:12:46.576057,pioneernuc,-63,1
2023-01-13 18:12:46.576525,DIRECT-STLAPTOP-TMNRJ694msTF,-64,1
2023-01-13 18:12:46.581858,AP-36,-67,12
2023-01-13 18:12:46.582087,AP-18,-69,12
2023-01-13 18:12:46.582269,AP-25,-69,12
2023-01-13 18:12:46.586756,eduroam,-75,1
2023-01-13 18:12:46.586897,LTU,-76,1
2023-01-13 18:12:46.587062,eduroam,-81,11
2023-01-13 18:12:46.587197,LTU,-82,11
2023-01-13 18:12:46.592880,LTU,-84,1
2023-01-13 18:12:46.593071,eduroam,-84,1
2023-01-13 18:12:46.593280,LTU,-84,6
2023-01-13 18:12:46.597112,eduroam,-85,6
2023-01-13 18:12:46.597296,eduroam,-89,6
2023-01-13 18:12:46.597431,LTU,-91,6
2023-01-13 18:12:50.802887,AP-72,-44,12
2023-01-13 18:12:50.803104,FlyNet_RCL,-47,1
