timestamp,SSID,RSSI,CH
2023-01-16 16:08:41.767811,AP-25,-64,12
2023-01-16 16:08:41.768013,AP-18,-79,12
2023-01-16 16:08:41.768316,pioneernuc,-80,1
2023-01-16 16:08:41.770606,AP-72,-84,12
2023-01-16 16:08:41.770796,AP-36,-93,12
2023-01-16 16:08:45.973562,AP-25,-61,12
2023-01-16 16:08:45.973821,pioneernuc,-81,1
2023-01-16 16:08:45.973980,AP-18,-81,12
2023-01-16 16:08:45.978080,AP-72,-85,12
2023-01-16 16:08:45.978241,AP-36,-93,12
2023-01-16 16:08:50.179573,AP-25,-49,12
2023-01-16 16:08:50.179750,pioneernuc,-72,1
2023-01-16 16:08:50.179892,AP-18,-79,12
2023-01-16 16:08:50.182084,AP-72,-86,12
2023-01-16 16:08:50.182345,AP-36,-90,12
2023-01-16 16:08:54.385464,AP-25,-50,12
2023-01-16 16:08:54.385667,pioneernuc,-68,1
2023-01-16 16:08:54.385933,AP-18,-81,12
2023-01-16 16:08:54.386257,AP-36,-92,12
2023-01-16 16:08:58.591337,AP-25,-59,12
2023-01-16 16:08:58.591553,pioneernuc,-67,1
2023-01-16 16:08:58.591819,AP-18,-80,12
2023-01-16 16:08:58.593919,AP-36,-85,12
2023-01-16 16:08:58.594143,AP-72,-87,12
2023-01-16 16:09:02.797769,AP-25,-58,12
2023-01-16 16:09:02.797949,pioneernuc,-73,1
2023-01-16 16:09:02.801809,AP-18,-80,12
2023-01-16 16:09:02.802029,AP-36,-83,12
2023-01-16 16:09:02.802184,AP-72,-87,12
2023-01-16 16:09:07.003272,pioneernuc,-68,1
2023-01-16 16:09:07.003640,AP-25,-70,12
2023-01-16 16:09:07.003784,AP-18,-78,12
2023-01-16 16:09:07.006027,AP-36,-83,12
2023-01-16 16:09:07.006242,AP-72,-84,12
2023-01-16 16:09:11.209072,AP-25,-66,12
2023-01-16 16:09:11.209265,AP-18,-78,12
2023-01-16 16:09:11.209444,AP-36,-82,12
2023-01-16 16:09:11.211712,pioneernuc,-83,1
2023-01-16 16:09:11.211949,AP-72,-87,12
2023-01-16 16:09:15.415026,AP-25,-60,12
2023-01-16 16:09:15.415293,pioneernuc,-76,1
2023-01-16 16:09:15.415467,AP-18,-78,12
2023-01-16 16:09:15.417324,AP-72,-83,12
2023-01-16 16:09:15.417574,AP-36,-85,12
2023-01-16 16:09:19.621358,AP-25,-67,12
2023-01-16 16:09:19.621625,AP-18,-78,12
2023-01-16 16:09:19.621850,AP-36,-81,12
2023-01-16 16:09:19.623427,AP-72,-84,12
2023-01-16 16:09:19.623704,pioneernuc,-85,1
2023-01-16 16:09:23.826785,AP-25,-60,12
2023-01-16 16:09:23.827147,pioneernuc,-76,1
2023-01-16 16:09:23.827351,AP-18,-76,12
2023-01-16 16:09:23.830905,AP-36,-78,12
2023-01-16 16:09:23.831074,AP-72,-88,12
2023-01-16 16:09:28.032633,AP-25,-68,12
2023-01-16 16:09:28.032907,AP-18,-73,12
2023-01-16 16:09:28.033063,AP-36,-76,12
2023-01-16 16:09:28.034811,pioneernuc,-86,1
2023-01-16 16:09:28.034975,AP-72,-87,12
